iter	Passed	Remaining
0	57	57570
1	58	28960
2	58	19396
3	58	14618
4	59	11744
5	59	9829
6	59	8469
7	60	7449
8	60	6681
9	61	6050
10	61	5526
11	61	5090
12	62	4719
13	62	4406
14	62	4131
15	63	3888
16	63	3671
17	63	3486
18	64	3316
19	64	3160
20	64	3019
21	65	2894
22	65	2781
23	65	2679
24	66	2582
25	66	2490
26	66	2407
27	67	2329
28	67	2257
29	67	2190
30	68	2127
31	68	2070
32	68	2015
33	69	1963
34	69	1916
35	69	1870
36	70	1825
37	70	1783
38	70	1743
39	71	1705
40	71	1670
41	71	1635
42	72	1607
43	72	1579
44	72	1548
45	73	1520
46	73	1493
47	73	1466
48	74	1441
49	74	1417
50	74	1393
51	75	1371
52	75	1349
53	75	1327
54	76	1308
55	76	1288
56	76	1271
57	77	1253
58	77	1236
59	77	1219
60	78	1203
61	78	1187
62	78	1172
63	79	1156
64	79	1142
65	79	1128
66	80	1114
67	80	1100
68	80	1088
69	80	1075
70	81	1064
71	81	1053
72	82	1042
73	82	1031
74	82	1021
75	83	1011
76	83	1000
77	83	990
78	84	980
79	84	971
80	84	961
81	85	951
82	85	942
83	85	933
84	85	922
85	85	913
86	86	904
87	86	896
88	86	888
89	87	880
90	87	872
91	87	866
92	88	858
93	88	851
94	88	845
95	89	838
96	89	832
97	89	825
98	90	819
99	90	812
100	90	806
101	90	799
102	91	793
103	91	787
104	91	781
105	91	775
106	92	770
107	92	765
108	93	760
109	93	755
110	93	750
111	94	745
112	94	740
113	94	736
114	95	732
115	95	727
116	95	723
117	96	718
118	96	713
119	96	709
120	96	704
121	97	699
122	97	694
123	97	690
124	98	686
125	98	682
126	98	678
127	98	673
128	99	669
129	99	665
130	99	662
131	100	658
132	100	654
133	100	650
134	100	647
135	101	644
136	101	641
137	101	637
138	102	633
139	102	630
140	102	626
141	103	623
142	103	620
143	103	616
144	104	613
145	104	610
146	104	608
147	105	605
148	105	602
149	105	599
150	106	596
151	106	593
152	106	591
153	107	589
154	107	587
155	108	584
156	108	581
157	108	579
158	109	577
159	109	575
160	110	573
161	110	570
162	110	567
163	110	565
164	111	563
165	111	560
166	111	558
167	112	555
168	112	553
169	112	550
170	113	548
171	113	545
172	113	543
173	114	541
174	114	539
175	114	537
176	115	535
177	115	533
178	115	530
179	116	528
180	116	526
181	116	524
182	116	522
183	117	519
184	117	518
185	117	515
186	118	514
187	118	512
188	118	510
189	119	509
190	119	507
191	120	505
192	120	503
193	120	501
194	121	499
195	121	497
196	121	495
197	122	494
198	122	492
199	122	490
200	122	488
201	123	486
202	123	484
203	123	482
204	124	480
205	124	479
206	124	477
207	124	475
208	125	474
209	125	472
210	125	470
211	126	469
212	126	467
213	126	465
214	127	464
215	127	462
216	127	460
217	127	458
218	128	457
219	128	455
220	128	454
221	129	453
222	129	452
223	130	450
224	130	449
225	130	447
226	131	446
227	131	444
228	131	443
229	132	442
230	132	440
231	132	439
232	133	438
233	133	437
234	133	436
235	134	434
236	134	433
237	135	432
238	135	431
239	135	430
240	136	428
241	136	427
242	136	426
243	137	424
244	137	423
245	137	421
246	138	420
247	138	419
248	138	418
249	138	416
250	139	415
251	139	414
252	139	412
253	140	411
254	140	410
255	140	408
256	140	407
257	141	405
258	141	404
259	141	403
260	141	402
261	142	400
262	142	399
263	142	398
264	143	397
265	143	395
266	143	394
267	144	393
268	144	392
269	144	391
270	145	390
271	145	389
272	145	387
273	145	386
274	146	385
275	146	384
276	146	383
277	147	382
278	147	381
279	147	380
280	148	379
281	148	377
282	148	376
283	149	375
284	149	374
285	149	373
286	150	372
287	150	371
288	150	370
289	151	369
290	151	368
291	151	368
292	152	367
293	152	366
294	152	365
295	153	363
296	153	362
297	153	361
298	153	360
299	154	360
300	154	359
301	154	357
302	155	357
303	155	356
304	155	355
305	156	354
306	156	353
307	156	352
308	157	351
309	157	350
310	157	349
311	157	348
312	158	347
313	158	346
314	158	345
315	159	344
316	159	343
317	159	342
318	160	342
319	160	341
320	161	340
321	161	340
322	162	339
323	162	338
324	162	337
325	162	336
326	163	336
327	163	335
328	164	334
329	164	333
330	164	333
331	165	332
332	165	331
333	165	330
334	166	329
335	166	328
336	166	327
337	166	327
338	167	326
339	167	325
340	167	324
341	168	323
342	168	322
343	168	322
344	169	321
345	169	320
346	169	319
347	170	319
348	171	319
349	171	318
350	171	317
351	171	316
352	172	315
353	172	314
354	172	313
355	173	313
356	173	312
357	173	311
358	174	310
359	174	310
360	174	309
361	175	308
362	175	308
363	176	307
364	176	307
365	176	306
366	177	305
367	177	304
368	177	304
369	178	303
370	178	302
371	178	301
372	178	300
373	179	300
374	179	299
375	179	298
376	180	297
377	180	297
378	180	296
379	181	295
380	181	295
381	182	294
382	182	293
383	182	293
384	183	292
385	183	291
386	183	291
387	184	290
388	184	289
389	184	289
390	185	288
391	185	287
392	185	287
393	186	286
394	186	285
395	186	284
396	187	284
397	187	283
398	187	282
399	188	282
400	188	281
401	188	280
402	189	280
403	189	279
404	189	278
405	189	277
406	190	277
407	190	276
408	190	275
409	191	275
410	191	274
411	191	273
412	192	273
413	192	272
414	192	271
415	193	271
416	193	270
417	193	269
418	194	269
419	194	268
420	194	268
421	195	267
422	195	266
423	195	266
424	196	265
425	196	264
426	196	264
427	197	263
428	197	262
429	197	262
430	198	261
431	198	260
432	198	260
433	198	259
434	199	258
435	199	258
436	199	257
437	200	256
438	200	255
439	200	255
440	200	254
441	201	253
442	201	253
443	201	252
444	202	251
445	202	251
446	202	250
447	202	249
448	203	249
449	203	248
450	203	247
451	203	247
452	204	246
453	204	245
454	204	245
455	204	244
456	205	243
457	205	243
458	205	242
459	205	241
460	206	241
461	206	240
462	206	239
463	207	239
464	207	238
465	207	237
466	207	237
467	208	236
468	208	235
469	208	235
470	208	234
471	209	234
472	209	233
473	209	232
474	210	232
475	210	231
476	210	230
477	210	230
478	211	229
479	211	228
480	211	228
481	211	227
482	212	227
483	212	226
484	212	225
485	213	225
486	213	224
487	213	224
488	213	223
489	214	222
490	214	222
491	214	221
492	214	220
493	215	220
494	215	219
495	215	219
496	215	218
497	216	217
498	216	217
499	216	216
500	216	216
501	217	215
502	217	214
503	217	214
504	217	213
505	218	213
506	218	212
507	218	211
508	219	211
509	219	210
510	219	210
511	219	209
512	220	209
513	220	208
514	220	207
515	221	207
516	221	206
517	221	206
518	221	205
519	222	205
520	222	204
521	222	203
522	222	203
523	223	202
524	223	202
525	223	201
526	224	201
527	224	200
528	224	200
529	224	199
530	225	198
531	225	198
532	225	197
533	225	197
534	226	196
535	226	196
536	226	195
537	226	194
538	227	194
539	227	193
540	227	193
541	228	192
542	228	192
543	228	191
544	228	191
545	229	190
546	229	189
547	229	189
548	229	188
549	230	188
550	230	187
551	230	187
552	230	186
553	231	186
554	231	185
555	231	184
556	231	184
557	232	183
558	232	183
559	232	182
560	232	182
561	233	181
562	233	181
563	233	180
564	234	180
565	234	179
566	234	179
567	235	178
568	235	178
569	235	177
570	235	177
571	236	176
572	236	176
573	236	175
574	236	175
575	237	174
576	237	174
577	237	173
578	238	173
579	238	172
580	238	172
581	238	171
582	239	170
583	239	170
584	239	169
585	239	169
586	240	168
587	240	168
588	240	167
589	240	167
590	241	166
591	241	166
592	241	165
593	242	165
594	242	164
595	242	164
596	242	163
597	243	163
598	243	162
599	243	162
600	243	161
601	244	161
602	244	160
603	244	160
604	244	159
605	245	159
606	245	158
607	245	158
608	245	157
609	246	157
610	246	156
611	246	156
612	246	155
613	247	155
614	247	154
615	247	154
616	248	153
617	248	153
618	248	152
619	248	152
620	249	152
621	249	151
622	249	151
623	250	150
624	250	150
625	250	149
626	250	149
627	251	148
628	251	148
629	251	147
630	252	147
631	252	146
632	252	146
633	253	146
634	253	145
635	253	145
636	253	144
637	254	144
638	254	143
639	254	143
640	255	142
641	255	142
642	255	142
643	256	141
644	256	141
645	256	140
646	257	140
647	257	139
648	257	139
649	258	139
650	258	138
651	258	138
652	259	137
653	259	137
654	259	136
655	260	136
656	260	135
657	260	135
658	260	135
659	261	134
660	261	134
661	261	133
662	262	133
663	262	132
664	262	132
665	263	131
666	263	131
667	263	131
668	264	130
669	264	130
670	264	129
671	265	129
672	265	128
673	265	128
674	266	128
675	266	127
676	266	127
677	266	126
678	267	126
679	267	125
680	267	125
681	267	124
682	268	124
683	268	124
684	268	123
685	268	123
686	269	122
687	269	122
688	269	121
689	269	121
690	270	120
691	270	120
692	270	119
693	270	119
694	271	119
695	271	118
696	271	118
697	272	117
698	272	117
699	272	116
700	272	116
701	273	116
702	273	115
703	274	115
704	274	114
705	274	114
706	274	113
707	275	113
708	275	113
709	275	112
710	276	112
711	276	111
712	276	111
713	277	110
714	277	110
715	277	110
716	278	109
717	279	109
718	279	109
719	279	108
720	279	108
721	280	107
722	280	107
723	280	107
724	281	106
725	281	106
726	281	105
727	282	105
728	282	105
729	282	104
730	283	104
731	283	103
732	283	103
733	284	102
734	284	102
735	284	102
736	285	101
737	285	101
738	285	100
739	286	100
740	286	100
741	286	99
742	286	99
743	287	98
744	287	98
745	287	97
746	288	97
747	288	97
748	288	96
749	289	96
750	289	95
751	289	95
752	290	95
753	290	94
754	290	94
755	290	93
756	291	93
757	291	93
758	291	92
759	292	92
760	292	91
761	292	91
762	293	91
763	293	90
764	293	90
765	294	89
766	294	89
767	294	88
768	294	88
769	295	88
770	295	87
771	295	87
772	296	86
773	296	86
774	296	86
775	296	85
776	297	85
777	297	84
778	297	84
779	298	84
780	298	83
781	298	83
782	298	82
783	299	82
784	299	82
785	299	81
786	300	81
787	300	80
788	300	80
789	301	80
790	301	79
791	301	79
792	302	78
793	302	78
794	302	78
795	303	77
796	303	77
797	303	76
798	304	76
799	304	76
800	304	75
801	305	75
802	305	74
803	305	74
804	306	74
805	306	73
806	306	73
807	307	72
808	307	72
809	307	72
810	308	71
811	308	71
812	309	71
813	309	70
814	310	70
815	310	70
816	310	69
817	311	69
818	311	68
819	311	68
820	312	68
821	312	67
822	312	67
823	313	66
824	313	66
825	313	66
826	314	65
827	314	65
828	314	64
829	315	64
830	315	64
831	315	63
832	316	63
833	316	62
834	316	62
835	317	62
836	317	61
837	317	61
838	318	61
839	318	60
840	318	60
841	319	59
842	319	59
843	319	59
844	320	58
845	320	58
846	320	57
847	321	57
848	321	57
849	321	56
850	322	56
851	322	55
852	322	55
853	322	55
854	323	54
855	323	54
856	323	54
857	324	53
858	324	53
859	324	52
860	325	52
861	325	52
862	325	51
863	326	51
864	326	50
865	326	50
866	327	50
867	327	49
868	327	49
869	327	48
870	328	48
871	328	48
872	328	47
873	329	47
874	329	47
875	329	46
876	330	46
877	330	45
878	330	45
879	331	45
880	331	44
881	331	44
882	332	43
883	332	43
884	332	43
885	332	42
886	333	42
887	333	42
888	333	41
889	334	41
890	334	40
891	334	40
892	335	40
893	335	39
894	335	39
895	336	39
896	336	38
897	336	38
898	337	37
899	337	37
900	337	37
901	338	36
902	338	36
903	338	35
904	339	35
905	339	35
906	339	34
907	340	34
908	341	34
909	341	33
910	341	33
911	342	33
912	342	32
913	342	32
914	343	31
915	343	31
916	343	31
917	343	30
918	344	30
919	344	29
920	344	29
921	345	29
922	345	28
923	345	28
924	346	28
925	346	27
926	346	27
927	347	26
928	347	26
929	347	26
930	348	25
931	348	25
932	348	25
933	348	24
934	349	24
935	349	23
936	349	23
937	350	23
938	350	22
939	350	22
940	351	22
941	351	21
942	351	21
943	352	20
944	352	20
945	352	20
946	353	19
947	353	19
948	353	19
949	354	18
950	354	18
951	355	17
952	355	17
953	355	17
954	356	16
955	356	16
956	356	16
957	356	15
958	357	15
959	357	14
960	357	14
961	358	14
962	358	13
963	358	13
964	359	13
965	359	12
966	359	12
967	360	11
968	360	11
969	360	11
970	361	10
971	361	10
972	361	10
